Nb_Inst.,ALL_REG,ALL_LUT,ALL_BRAM,ALL_DSP,ALL_RAMLUT,ALL_LUT6,ALL_MUXCY,Module,REG,LUT,BRAM,DSP,RAMLUT,LUT6,MUXCY,HLUT,HLUT(raw),HREG,Nb_IOs
115,0,0,0,0,0,0,0,zview,0,0,0,0,0,0,0,0,0,0,1
43,43,0,0,0,0,0,0,zebu_bb_wb_reg,1,0,0,0,0,0,0,0,0,1,1
36,0,0,0,0,0,0,0,zfwc_hs_1,0,0,0,0,0,0,0,0,0,0,3
21,0,0,0,0,0,0,0,zebu_reqsig_clock_driverclock,0,0,0,0,0,0,0,0,0,0,1
18,36,0,0,0,0,0,0,zebu_force_sync_LOGICOPT,2,0,0,0,0,0,0,1,1,2,3
18,0,18,0,0,0,0,0,zmux2_1_0_LOGICOPT,0,1,0,0,0,0,0,1,1,0,4
16,0,0,0,0,0,0,0,zebu_bb_zmem_addr,0,0,0,0,0,0,0,0,0,0,1
12,0,0,0,0,0,0,0,zebu_FT_inout_mod_hidden_wire_new,0,0,0,0,0,0,0,0,0,0,2
9,0,0,0,0,0,0,0,zebu_bb_zmem_do,0,0,0,0,0,0,0,0,0,0,1
9,0,0,0,0,0,0,0,zebu_bb_zmem_di,0,0,0,0,0,0,0,0,0,0,1
4,0,0,0,0,0,0,0,ZXLSYS,0,0,0,0,0,0,0,0,0,0,4
2,0,0,0,0,0,0,0,zebu_bb_zmem_clk,0,0,0,0,0,0,0,0,0,0,1
2,2,4,0,0,0,0,0,zsva_trigger_1,1,2,0,0,0,0,0,2,2,1,6
2,0,2,0,0,0,0,0,zmux2_1_0,0,1,0,0,0,0,0,1,1,0,4
2,0,0,0,0,0,0,0,zebu_reqsig_clock_zcompositeclock,0,0,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,ZSVA_MOD_PLI_1,0,0,0,0,0,0,0,0,0,0,10
2,6,6,0,0,0,2,0,parity_check,3,3,0,0,0,1,0,5,5,4,13
2,4,4,0,0,0,0,2,counter2_re,2,2,0,0,0,0,1,2,2,2,7
2,0,0,0,0,0,0,0,z_feed_through,0,0,0,0,0,0,0,0,0,0,2
2,4,0,0,0,0,0,0,zebu_force_sync,2,0,0,0,0,0,0,1,1,2,3
1,298,26,0,0,0,0,0,stb,298,26,0,0,0,0,0,206,206,502,32
